curriculum,subject,grade,topic_name,subtopic_canonical_code,subtopic_name,learning_objective,difficulty_min,difficulty_max,prerequisite_count
cambridge_lower,MATH,6,Number,MATH-NUM-G6-01,Integers and Place Value,Understand the value of each digit in integers up to 7 digits; order and compare positive and negative integers on a number line.,,,0
cambridge_lower,MATH,6,Number,MATH-NUM-G6-02,Fractions,Compare and order fractions; convert between improper fractions and mixed numbers; calculate fractions of whole number quantities.,,,1
cambridge_lower,MATH,6,Number,MATH-NUM-G6-03,Decimals and Percentages,"Convert fluently between fractions, decimals and percentages; calculate simple percentages of quantities and express one quantity as a percentage of another.",,,1
cambridge_lower,MATH,6,Number,MATH-NUM-G6-04,Ratio and Proportion,Write and simplify ratios; divide a quantity into a given ratio; solve simple proportion problems using the unitary method.,,,1
cambridge_lower,MATH,6,Algebra,MATH-ALG-G6-01,Sequences,Recognise and extend linear and simple non-linear sequences; describe the term-to-term rule in words and using algebra.,,,0
cambridge_lower,MATH,6,Algebra,MATH-ALG-G6-02,Algebraic Expressions,Write and simplify algebraic expressions; substitute numerical values into expressions and formulae to evaluate them.,,,1
cambridge_lower,MATH,6,Algebra,MATH-ALG-G6-03,Simple Linear Equations,"Form and solve one-step and two-step linear equations with the unknown on one side, including equations arising from problem contexts.",,,1
cambridge_lower,MATH,6,Geometry and Measure,MATH-GEO-G6-01,Angles and Lines,"Identify acute, obtuse, reflex and right angles; calculate unknown angles on a straight line, at a point, and in triangles and quadrilaterals.",,,0
cambridge_lower,MATH,6,Geometry and Measure,MATH-GEO-G6-02,2D Shape Properties,Classify triangles by side length and angle; classify quadrilaterals by their properties; identify lines of symmetry and the order of rotational symmetry.,,,1
cambridge_lower,MATH,6,Geometry and Measure,MATH-GEO-G6-03,Area and Perimeter,"Calculate the perimeter and area of rectangles, triangles, parallelograms and compound rectilinear shapes; solve problems in context.",,,1
cambridge_lower,MATH,6,Geometry and Measure,MATH-GEO-G6-04,Units and Measurement,"Convert between metric units of length, mass and capacity; read scales accurately; estimate and measure lengths, masses and capacities.",,,0
cambridge_lower,MATH,6,Statistics and Probability,MATH-STAT-G6-01,Data Representation,"Construct and interpret bar charts, pictograms, line graphs and simple pie charts from frequency tables and raw data.",,,0
cambridge_lower,MATH,6,Statistics and Probability,MATH-STAT-G6-02,Averages and Range,"Calculate the mean, median, mode and range from a set of raw data; interpret and compare these measures in context.",,,1
cambridge_lower,MATH,6,Statistics and Probability,MATH-STAT-G6-03,Probability Scale,"Describe the likelihood of events using probability language; express the probability of a single event as a fraction, decimal or percentage on a 0-to-1 scale.",,,0
cambridge_lower,MATH,7,Number,MATH-NUM-G7-01,"Fractions, Decimals and Percentages",Perform the four operations with fractions and decimals; calculate percentage increase and decrease; express percentage change.,,,0
cambridge_lower,MATH,7,Number,MATH-NUM-G7-02,Powers and Roots,"Calculate squares, square roots, cubes and cube roots; use index notation; apply the rules of indices for positive integer exponents.",,,0
cambridge_lower,MATH,7,Number,MATH-NUM-G7-03,Standard Form,Express large and small numbers in standard form (a × 10ⁿ where 1 ≤ a < 10); convert between standard form and ordinary numbers.,,,1
cambridge_lower,MATH,7,Number,MATH-NUM-G7-04,Ratio and Direct Proportion,"Solve problems using ratio, including sharing in a given ratio; recognise and use direct proportion; construct and use proportion equations.",,,1
cambridge_lower,MATH,7,Algebra,MATH-ALG-G7-01,Algebraic Manipulation,Expand single brackets and simplify algebraic expressions; factorise expressions by extracting a common factor.,,,0
cambridge_lower,MATH,7,Algebra,MATH-ALG-G7-02,Linear Equations,Solve linear equations with unknowns on both sides and those involving brackets; form equations from word problems and check solutions.,,,1
